COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,PK-12 COUNT,FREE LUNCH ELIGIBLE,REDUCED LUNCH ELIGIBLE,NOT ELIGIBLE,FREE AND REDUCED, %FREE,% REDUCED,% FREE AND REDUCED
01,ADAMS,0010,MAPLETON 1,8494,3966,1179,3328,5145,47%,14%,61%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,37752,11717,3337,22648,15054,31%,9%,40%
01,ADAMS,0030,ADAMS COUNTY 14,6817,5020,934,863,5954,74%,14%,87%
01,ADAMS,0040,SCHOOL DISTRICT 27J,17210,4961,1524,10725,6485,29%,9%,38%
01,ADAMS,0050,BENNETT 29J,1061,239,77,745,316,23%,7%,30%
01,ADAMS,0060,STRASBURG 31J,941,160,73,708,233,17%,8%,25%
01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,8770,6455,682,1629,7137,74%,8%,81%
02,ALAMOSA,0100,ALAMOSA RE-11J,2336,N/A,N/A,1323,1013,N/A,N/A,43%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,296,140,31,125,171,47%,11%,58%
03,ARAPAHOE,0120,ENGLEWOOD 1,2529,1408,260,861,1668,56%,10%,66%
03,ARAPAHOE,0123,SHERIDAN 2,1258,1037,100,121,1137,82%,8%,90%
03,ARAPAHOE,0130,CHERRY CREEK 5,53956,12231,3969,37756,16200,23%,7%,30%
03,ARAPAHOE,0140,LITTLETON 6,14966,1957,554,12455,2511,13%,4%,17%
03,ARAPAHOE,0170,DEER TRAIL 26J,181,N/A,N/A,88,93,N/A,N/A,51%
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,39060,23043,3800,12217,26843,59%,10%,69%
03,ARAPAHOE,0190,BYERS 32J,2829,1013,188,1628,1201,36%,7%,43%
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,1660,665,199,796,864,40%,12%,52%
05,BACA,0230,WALSH RE-1,141,59,25,57,84,42%,18%,60%
05,BACA,0240,PRITCHETT RE-3,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A
05,BACA,0250,SPRINGFIELD RE-4,295,152,43,100,195,52%,15%,66%
05,BACA,0260,VILAS RE-5,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A
05,BACA,0270,CAMPO RE-6,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A
06,BENT,0290,LAS ANIMAS RE-1,1687,1425,61,201,1486,85%,4%,88%
06,BENT,0310,MC CLAVE RE-2,239,103,27,109,130,43%,11%,54%
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,30970,7328,2156,21486,9484,24%,7%,31%
07,BOULDER,0480,BOULDER VALLEY RE 2,30391,4772,1004,24615,5776,16%,3%,19%
08,CHAFFEE,0490,BUENA VISTA R-31,971,227,100,644,327,23%,10%,34%
08,CHAFFEE,0500,SALIDA R-32,1196,342,135,719,477,29%,11%,40%
09,CHEYENNE,0510,KIT CARSON R-1,100,N/A,N/A,50,50,N/A,N/A,50%
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,165,67,19,79,86,41%,12%,52%
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,737,157,42,538,199,21%,6%,27%
11,CONEJOS,0550,NORTH CONEJOS RE-1J,1028,517,202,309,719,50%,20%,70%
11,CONEJOS,0560,SANFORD 6J,346,138,50,158,188,40%,15%,54%
11,CONEJOS,0580,SOUTH CONEJOS RE-10,181,N/A,N/A,65,116,N/A,N/A,64%
12,COSTILLA,0640,CENTENNIAL R-1,196,158,22,16,180,81%,11%,92%
12,COSTILLA,0740,SIERRA GRANDE R-30,264,N/A,N/A,41,223,N/A,N/A,85%
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,440,219,16,205,235,50%,4%,53%
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,371,142,49,180,191,38%,13%,52%
15,DELTA,0870,DELTA COUNTY 50(J),4735,2117,436,2182,2553,45%,9%,54%
16,DENVER,0880,DENVER COUNTY 1,86863,49826,8527,28510,58353,57%,10%,67%
17,DOLORES,0890,DOLORES COUNTY RE NO.2,225,102,25,98,127,45%,11%,56%
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,65786,5849,2286,57651,8135,9%,4%,12%
19,EAGLE,0910,EAGLE COUNTY RE 50,6663,1816,591,4256,2407,27%,9%,36%
20,ELBERT,0920,ELIZABETH C-1,2335,328,98,1909,426,14%,4%,18%
20,ELBERT,0930,KIOWA C-2,240,70,19,151,89,29%,8%,37%
20,ELBERT,0940,BIG SANDY 100J,296,N/A,N/A,179,117,N/A,N/A,40%
20,ELBERT,0950,ELBERT 200,212,N/A,N/A,163,49,N/A,N/A,23%
20,ELBERT,0960,AGATE 300,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,EL PASO,0970,CALHAN RJ-1,428,168,33,227,201,39%,8%,47%
21,EL PASO,0980,HARRISON 2,11771,7374,1429,2968,8803,63%,12%,75%
21,EL PASO,0990,WIDEFIELD 3,9258,3184,984,5090,4168,34%,11%,45%
21,EL PASO,1000,FOUNTAIN 8,7982,2734,1361,3887,4095,34%,17%,51%
21,EL PASO,1010,COLORADO SPRINGS 11,26751,13371,2513,10867,15884,50%,9%,59%
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,5084,609,191,4284,800,12%,4%,16%
21,EL PASO,1030,MANITOU SPRINGS 14,1361,327,64,970,391,24%,5%,29%
21,EL PASO,1040,ACADEMY 20,25444,2289,949,22206,3238,9%,4%,13%
21,EL PASO,1050,ELLICOTT 22,964,459,140,365,599,48%,15%,62%
21,EL PASO,1060,PEYTON 23 JT,603,129,46,428,175,21%,8%,29%
21,EL PASO,1070,HANOVER 28,255,134,30,91,164,53%,12%,64%
21,EL PASO,1080,LEWIS-PALMER 38,6461,359,161,5941,520,6%,3%,8%
21,EL PASO,1110,FALCON 49,21078,4763,1446,14869,6209,23%,7%,30%
21,EL PASO,1120,EDISON 54 JT,220,66,29,125,95,30%,13%,43%
21,EL PASO,1130,MIAMI/YODER 60 JT,279,123,22,134,145,44%,8%,52%
22,FREMONT,1140,CANON CITY RE-1,3555,1632,405,1518,2037,46%,11%,57%
22,FREMONT,1150,FREMONT RE-2,1346,632,133,581,765,47%,10%,57%
22,FREMONT,1160,COTOPAXI RE-3,197,86,28,83,114,44%,14%,58%
23,GARFIELD,1180,ROARING FORK RE-1,5442,1760,732,2950,2492,32%,14%,46%
23,GARFIELD,1195,GARFIELD RE-2,4644,1634,650,2360,2284,35%,14%,49%
23,GARFIELD,1220,GARFIELD 16,1076,506,123,447,629,47%,11%,59%
24,GILPIN,1330,GILPIN COUNTY RE-1,447,120,42,285,162,27%,9%,36%
25,GRAND,1340,WEST GRAND 1-JT,406,133,50,223,183,33%,12%,45%
25,GRAND,1350,EAST GRAND 2,1243,228,72,943,300,18%,6%,24%
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,1998,364,103,1531,467,18%,5%,23%
27,HINSDALE,1380,HINSDALE COUNTY RE 1,85,N/A,N/A,56,29,N/A,N/A,34%
28,HUERFANO,1390,HUERFANO RE-1,520,378,32,110,410,73%,6%,79%
28,HUERFANO,1400,LA VETA RE-2,210,N/A,N/A,99,111,N/A,N/A,53%
29,JACKSON,1410,NORTH PARK R-1 ,163,55,35,73,90,34%,22%,55%
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,83144,20311,6024,56794,26335,24%,7%,32%
31,KIOWA,1430,EADS RE-1,161,N/A,N/A,88,73,N/A,N/A,45%
31,KIOWA,1440,PLAINVIEW RE-2,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,157,63,27,67,90,40%,17%,57%
32,KIT CARSON,1460,HI-PLAINS R-23,94,N/A,N/A,44,50,N/A,N/A,53%
32,KIT CARSON,1480,STRATTON R-4,199,70,41,88,111,35%,21%,56%
32,KIT CARSON,1490,BETHUNE R-5,105,62,19,24,81,59%,18%,77%
32,KIT CARSON,1500,BURLINGTON RE-6J,719,365,93,261,458,51%,13%,64%
33,LAKE,1510,LAKE COUNTY R-1,940,391,212,337,603,42%,23%,64%
34,LA PLATA,1520,DURANGO 9-R,5077,1207,369,3472,1576,24%,7%,31%
34,LA PLATA,1530,BAYFIELD 10 JT-R,1341,281,129,931,410,21%,10%,31%
34,LA PLATA,1540,IGNACIO 11 JT,786,438,94,254,532,56%,12%,68%
35,LARIMER,1550,POUDRE R-1,29190,6837,1859,20479,8696,23%,6%,30%
35,LARIMER,1560,THOMPSON R2-J,15717,4753,1430,9534,6183,30%,9%,39%
35,LARIMER,1570,ESTES PARK R-3,1103,370,81,652,451,34%,7%,41%
36,LAS ANIMAS,1580,TRINIDAD 1,982,629,100,253,729,64%,10%,74%
36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,180,96,19,65,115,53%,11%,64%
36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,359,94,55,210,149,26%,15%,42%
36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,109,N/A,N/A,37,72,N/A,N/A,66%
36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,462,74,16,372,90,16%,4%,20%
36,LAS ANIMAS,1760,KIM REORGANIZED 88,51,15,18,18,33,29%,35%,65%
37,LINCOLN,1780,GENOA-HUGO C113,166,49,22,95,71,30%,13%,43%
37,LINCOLN,1790,LIMON RE-4J,476,174,50,252,224,37%,11%,47%
37,LINCOLN,1810,KARVAL RE-23,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,LOGAN,1828,VALLEY RE-1,2107,817,228,1062,1045,39%,11%,50%
38,LOGAN,1850,FRENCHMAN RE-3,171,42,20,109,62,25%,12%,36%
38,LOGAN,1860,BUFFALO RE-4J,301,85,16,200,101,28%,5%,34%
38,LOGAN,1870,PLATEAU RE-5,152,30,19,103,49,20%,13%,32%
39,MESA,1980,DE BEQUE 49JT,147,N/A,N/A,92,55,N/A,N/A,37%
39,MESA,1990,PLATEAU VALLEY 50,437,N/A,N/A,322,115,N/A,N/A,26%
39,MESA,2000,MESA COUNTY VALLEY 51,21276,7843,1680,11753,9523,37%,8%,45%
40,MINERAL,2010,CREEDE SCHOOL DISTRICT,80,21,17,42,38,26%,21%,48%
41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,2050,606,178,1266,784,30%,9%,38%
42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,2686,1395,213,1078,1608,52%,8%,60%
42,MONTEZUMA,2055,DOLORES RE-4A,684,212,46,426,258,31%,7%,38%
42,MONTEZUMA,2070,MANCOS RE-6,453,215,63,175,278,48%,14%,61%
43,MONTROSE,2180,MONTROSE COUNTY RE-1J,5975,2437,404,3134,2841,41%,7%,48%
43,MONTROSE,2190,WEST END RE-2,276,135,32,109,167,49%,12%,61%
44,MORGAN,2395,BRUSH RE-2(J),1428,675,189,564,864,47%,13%,61%
44,MORGAN,2405,FORT MORGAN RE-3,3090,1785,277,1022,2062,58%,9%,67%
44,MORGAN,2505,WELDON VALLEY RE-20(J),208,58,17,133,75,28%,8%,36%
44,MORGAN,2515,WIGGINS RE-50(J),547,156,76,314,232,29%,14%,42%
45,OTERO,2520,EAST OTERO R-1,1423,936,113,374,1049,66%,8%,74%
45,OTERO,2530,ROCKY FORD R-2,796,542,62,192,604,68%,8%,76%
45,OTERO,2535,MANZANOLA 3J,136,74,17,45,91,54%,13%,67%
45,OTERO,2540,FOWLER R-4J,383,168,45,170,213,44%,12%,56%
45,OTERO,2560,CHERAW 31,192,73,28,91,101,38%,15%,53%
45,OTERO,2570,SWINK 33,372,123,53,196,176,33%,14%,47%
46,OURAY,2580,OURAY R-1,155,33,19,103,52,21%,12%,34%
46,OURAY,2590,RIDGWAY R-2,325,N/A,N/A,245,80,N/A,N/A,25%
47,PARK,2600,PLATTE CANYON 1,842,199,44,599,243,24%,5%,29%
47,PARK,2610,PARK COUNTY RE-2,660,237,68,355,305,36%,10%,46%
48,PHILLIPS,2620,HOLYOKE RE-1J,583,220,65,298,285,38%,11%,49%
48,PHILLIPS,2630,HAXTUN RE-2J,311,65,46,200,111,21%,15%,36%
49,PITKIN,2640,ASPEN 1,1652,50,25,1577,75,3%,2%,5%
50,PROWERS,2650,GRANADA RE-1,195,N/A,N/A,83,112,N/A,N/A,57%
50,PROWERS,2660,LAMAR RE-2,1459,789,140,530,929,54%,10%,64%
50,PROWERS,2670,HOLLY RE-3,283,160,36,87,196,57%,13%,69%
50,PROWERS,2680,WILEY RE-13 JT,226,72,32,122,104,32%,14%,46%
51,PUEBLO,2690,PUEBLO CITY 60,16051,11805,961,3275,12766,74%,6%,80%
51,PUEBLO,2700,PUEBLO COUNTY 70,9557,3619,884,5054,4503,38%,9%,47%
52,RIO BLANCO,2710,MEEKER RE1,694,205,29,460,234,30%,4%,34%
52,RIO BLANCO,2720,RANGELY RE-4,483,132,19,332,151,27%,4%,31%
53,RIO GRANDE,2730,DEL NORTE C-7,411,209,23,179,232,51%,6%,56%
53,RIO GRANDE,2740,MONTE VISTA C-8,1080,582,132,366,714,54%,12%,66%
53,RIO GRANDE,2750,SARGENT RE-33J,370,118,26,226,144,32%,7%,39%
54,ROUTT,2760,HAYDEN RE-1,408,99,57,252,156,24%,14%,38%
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,2624,348,81,2195,429,13%,3%,16%
54,ROUTT,2780,SOUTH ROUTT RE 3,327,120,35,172,155,37%,11%,47%
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,113,N/A,N/A,28,85,N/A,N/A,75%
55,SAGUACHE,2800,MOFFAT 2,218,156,16,46,172,72%,7%,79%
55,SAGUACHE,2810,CENTER 26 JT,585,538,30,17,568,92%,5%,97%
56,SAN JUAN,2820,SILVERTON 1,62,N/A,N/A,22,40,N/A,N/A,65%
57,SAN MIGUEL,2830,TELLURIDE R-1,902,148,53,701,201,16%,6%,22%
57,SAN MIGUEL,2840,NORWOOD R-2J,219,79,24,116,103,36%,11%,47%
58,SEDGWICK,2862,JULESBURG RE-1,494,205,44,245,249,42%,9%,50%
58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,117,46,34,37,80,39%,29%,68%
59,SUMMIT,3000,SUMMIT RE-1,3444,746,353,2345,1099,22%,10%,32%
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,338,186,36,116,222,55%,11%,66%
60,TELLER,3020,WOODLAND PARK RE-2,2387,553,173,1661,726,23%,7%,30%
61,WASHINGTON,3030,AKRON R-1,358,154,46,158,200,43%,13%,56%
61,WASHINGTON,3040,ARICKAREE R-2,90,N/A,N/A,44,46,N/A,N/A,51%
61,WASHINGTON,3050,OTIS R-3,227,98,31,98,129,43%,14%,57%
61,WASHINGTON,3060,LONE STAR 101,119,24,31,64,55,20%,26%,46%
61,WASHINGTON,3070,WOODLIN R-104,91,N/A,N/A,31,60,N/A,N/A,66%
62,WELD,3080,WELD COUNTY RE-1,1816,764,170,882,934,42%,9%,51%
62,WELD,3085,EATON RE-2,1913,463,207,1242,670,24%,11%,35%
62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,2297,650,221,1426,871,28%,10%,38%
62,WELD,3100,WINDSOR RE-4,6121,616,270,5235,886,10%,4%,15%
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,3756,713,308,2735,1021,19%,8%,27%
62,WELD,3120,GREELEY 6,22219,12138,2096,7985,14234,55%,9%,64%
62,WELD,3130,PLATTE VALLEY RE-7,1095,308,58,729,366,28%,5%,33%
62,WELD,3140,WELD COUNTY S/D RE-8,2252,1304,236,712,1540,58%,11%,68%
62,WELD,3145,AULT-HIGHLAND RE-9,912,305,103,504,408,33%,11%,45%
62,WELD,3146,BRIGGSDALE RE-10,161,N/A,N/A,98,63,N/A,N/A,39%
62,WELD,3147,PRAIRIE RE-11,195,30,23,142,53,15%,12%,27%
62,WELD,3148,PAWNEE RE-12,78,N/A,N/A,40,38,N/A,N/A,49%
63,YUMA,3200,YUMA 1,771,391,98,282,489,51%,13%,63%
63,YUMA,3210,WRAY RD-2,670,278,107,285,385,42%,16%,58%
63,YUMA,3220,IDALIA RJ-3,201,81,39,81,120,40%,19%,60%
63,YUMA,3230,LIBERTY J-4,59,N/A,N/A,44,15,N/A,N/A,25%
90,COLORADO BOCS,9035,CENTENNIAL BOCES,170,N/A,N/A,158,12,N/A,N/A,7%
90,COLORADO BOCS,9050,SAN JUAN BOCES,61,N/A,N/A,54,7,N/A,N/A,12%
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,389,N/A,N/A,368,21,N/A,N/A,5%
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,2246,898,188,1160,1086,40%,8%,48%
90,COLORADO BOCS,9175,COLORADO RIVER BOCES,153,N/A,N/A,99,54,N/A,N/A,35%
98,NONE,8001,CHARTER SCHOOL INSTITUTE,17266,5255,1886,10125,7141,30%,11%,41%
98,NONE,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,188,98,17,73,115,52%,9%,61%
999,No County,9999,COLORADO DETENTION CENTER TOTAL,236,N/A,N/A,129,107,N/A,N/A,45%
,,,STATE TOTAL,877232,297319,68987,510774,366306,34%,8%,42%